actor_id,type,actor_id_type,new_actor_type,old_actor_type,actor_name,actor,actor_detail,abbreviation,short_actor_name,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,hyperlink
0,CON,CON_0,Country/State,Country/State,Bosnia and Herzegovina,Bosnia and Herzegovina,,BOS,BOS,Bosnia and Herzegovina,BIH,70.0,346.0,BOS,BOS,346.0,Europe,50.0,Government of Bosnia-Herzegovina,Government of Bosnia and Herzegovina (2018-),Government of Bosnia and Herzegovina (2018-),Bosnia-Herzegovina | BOSNIA AND HERZEGOVINA | Bosnia Herzegovina | Republic of Bosnia and Herzegovina | Bosnia | Bosniak | Bosnian Croats | Bosnian Serb Civilian | Federation Bosnia | Federation Bosnia Herzegovina | Federation Bosnia Herzegovina Drago BILANDZIJA | Federation Bosnia Herzegovina : A. IZETBEGOVIC | Republic Bosnia | Republic Bosnia - Herzegovina | Republic Bosnia Herzegovina | Republic Federation Bosnia Herzegovina ] | Republic Srpska | REPUBLIC SRPSKA Dr Radovan Karadzic | Republics Bosnia Herzegovina | Republika Srpska | REPUBLIKA SRPSKA | BIH | Republic of Bosnia and Herzegovina | Bosnia and Herzegovina | Government Republic Bosnia Herzegovina | Herzegovina | Croatian Republic Herzeg - Bosnia | Croatian Republic Herceg Bosnia Mate Boban,Bosnia and Herzegovina is a Country/State in Europe. ,
1,CON,CON_1,Country/State,Country/State,Croatia,Croatia,,CRO,CRO,Croatia,HRV,191.0,344.0,CRO,CRO,344.0,Europe,48.0,Government of Croatia,Government of Croatia (2016-),Government of Croatia (2016-),Croatia | CROATIA | Croat | Croatia | Republic Croatia | Republic Croatia : | Republic Croatia DR | Croatia | Defence Government Republic Croatia | : Government Republic Croatia- | Office Government Republic Croatia Transitional Administration,Croatia is a Country/State in Europe. ,
2,CON,CON_2,Country/State,Country/State,Germany,Germany,,GMY,GMY,Germany,DEU,276.0,255.0,GMY,GMY,255.0,Europe,37.0,Government of Germany,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-),Germany (Prussia) | GERMANY | Federal Republic Germany | Germany | GERMANY | Republic Germany | Federal Republic of Germany | German Foreign Ministry,Germany is a Country/State in Europe. ,
3,CON,CON_3,Country/State,Country/State,United States,United States,,USA,USA,United States of America,USA,840.0,2.0,USA,USA,2.0,Americas,3.0,Government of United States of America,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),United States of America | UNITED STATES | America | AMERICA | U.S. | U.S.A | United States | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA,United States is a Country/State in Americas. ,
4,CON,CON_4,Country/State,Country/State,Spain,Spain,,SPN,SPN,Spain,ESP,724.0,230.0,SPN,SPN,230.0,Europe,35.0,Government of Spain,Government of Spain (2020-),Government of Spain (2020-),Spain | SPAIN | Kingdom Spain | Spain | SPAIN,Spain is a Country/State in Europe. ,
5,IGO,IGO_5,Intergovernmental Organization,IGO,European Union,European Union,,EU,EU,,,,,,,,,,,,,EU || The European Union || European Union | EU | EU Admininstrator | EU Monitoring Mission | EU Special Representative | European Union | EUROPEAN UNION | European Union - MAMADOU KANE | European Union Canada Mediator | European Union Delegation European Commission | European Union League Arab States | European Union Representative | European Union Co - Chair | European Union External Action Service | European Union Foreign Affairs | European Union Foreign Affairs Security | European Union High Representative | European Union High Representative Foreign Affairs & Security | European Union Special Negotiator | European Unions | European Union Special Negotiator | EU Presidency | EU Administrator | Local Presidency of the European Union | PMEZ | Union Europeene | EU Monitoring Mission | European External Action Service | EU facilitator | European Union High Representative of the Union for Foreign Affairs and Security Policy | European Union External Action Service | UE | EU Special Envoy  | Presidency of the EU | EU Special Representative for the Great Lakes Region | EU  |  The European Union  |  European Union | EU | European Union | European Union (EU) | European Union  - MAMADOU KANE | EU | European Union | European Union Canada Mediator | European Union League Arab States | European Union Representative,"European Union (EU) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as EU || The European Union || European Union",
7,CON,CON_7,Country/State,Country/State,France,France,,FRN,FRN,France,FRA,250.0,220.0,FRN,FRN,220.0,Europe,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France | FRANCE | France | FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France | French Republic | French Republic  Mr | French Republic,France is a Country/State in Europe. ,
8,IGO,IGO_8,Intergovernmental Organization,IGO,UN Security Council,United Nations,UN Security Council,UNSC,UNSC,,,,,,,,,,,,,Un Security Council || United Nations Security Council || UNSC || U.N. Security Council | UN Security Council | UN Security Council Resolution | UN Security General | United Nations Security Council | UNSC | Un Security Council  |  United Nations Security Council  |  UNSC  |  U.N. Security Council,"UN Security Council (UNSC) is an IGO, with affiliations to Global Defense / Security IGOs (United Nations). They are also referred to as Un Security Council || United Nations Security Council || UNSC || U.N. Security Council",
9,CON,CON_9,Country/State,Country/State,Argentina,Argentina,,ARG,ARG,Argentina,ARG,32.0,160.0,ARG,ARG,160.0,Americas,26.0,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Argentina | ARGENTINA | Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso,Argentina is a Country/State in Americas. ,
10,CON,CON_10,Country/State,Country/State,Netherlands,Netherlands,,NTH,NTH,Netherlands,NLD,528.0,210.0,NTH,NTH,210.0,Europe,30.0,Government of Netherlands,Government of the Netherlands (2010-),Government of the Netherlands (2010-),Netherlands | NETHERLANDS | Kingdom Netherlands | Netherlands | NETHERLANDS | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands,Netherlands is a Country/State in Europe. ,
