signatory_id,AgtId,Agt,short_agt_name,long_agt_name,description,Type,PP,PPName,Con,agt_type,stage_label,date,year,month,day,month_full,signatory_type,actor_id,actor_id_type,actor,actor_detail,actor_name,abbreviation,short_actor_name,type,actor_type,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html
32,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,9.0,CON_9,Argentina,,Argentina,ARG,ARG,CON,Country/State,Argentina,ARG,32.0,160.0,ARG,ARG,160.0,Americas,26.0,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Argentina | ARGENTINA | Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso,Argentina is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
34,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,10.0,CON_10,Netherlands,,Netherlands,NTH,NTH,CON,Country/State,Netherlands,NLD,528.0,210.0,NTH,NTH,210.0,Europe,30.0,Government of Netherlands,Government of the Netherlands (2010-),Government of the Netherlands (2010-),Netherlands | NETHERLANDS | Kingdom Netherlands | Netherlands | NETHERLANDS | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands,Netherlands is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
33,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,11.0,CON_11,Canada,,Canada,CAN,CAN,CON,Country/State,Canada,CAN,124.0,20.0,CAN,CAN,20.0,Americas,4.0,Government of Canada,Government of Canada (2015-),Government of Canada (2015-),Canada | CANADA | Canada | CANADA | Canada | Government Canada,Canada is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
31,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,12.0,CON_12,Malaysia,,Malaysia,MAL,MAL,CON,Country/State,Malaysia,MYS,458.0,820.0,MAL,MAL,820.0,Asia,152.0,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Malaysia | MALAYSIA | Malaysian Government,Malaysia is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
30,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,13.0,CON_13,Namibia,,Namibia,NAM,NAM,CON,Country/State,Namibia,NAM,516.0,565.0,NAM,NAM,565.0,Africa,103.0,Government of Namibia,,,Namibia | NAMIBIA | Republic Namibia | Nambia | Government Republic Namibia,Namibia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
29,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,14.0,CON_14,Slovenia,,Slovenia,SLV,SLV,CON,Country/State,Slovenia,SVN,705.0,349.0,SLV,SLV,349.0,Europe,51.0,Government of Slovenia,Government of Slovenia (2018-),Government of Slovenia (2018-),Slovenia | SLOVENIA | Republic Slovenia | Republic Slovenia : | Slovenia,Slovenia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
28,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,15.0,CON_15,Brazil,,Brazil,BRA,BRA,CON,Country/State,Brazil,BRA,76.0,140.0,BRA,BRA,140.0,Americas,22.0,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Brazil | BRAZIL | Federative Republic Brazil | Federal Republic Brazil | Federative Republic Brazil | Federative Republic of Brazil  | BRAZIL,Brazil is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
26,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,16.0,CON_16,Gambia,,Gambia,GAM,GAM,CON,Country/State,Gambia,GMB,270.0,420.0,GAM,GAM,420.0,Africa,71.0,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Gambia | GAMBIA | Gambia | GAMBIA | Gambia ] | Republic Gambia | Republic GAMBIA,Gambia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
25,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,17.0,CON_17,Gabon,,Gabon,GAB,GAB,CON,Country/State,Gabon,GAB,266.0,481.0,GAB,GAB,481.0,Africa,85.0,Government of Gabon,Government of Gabon (2009-),Government of Gabon (2009-),Gabon | GABON | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic  | Gabonese Republic | Gabonese Republic  Republic | Gabonese Republic,Gabon is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
27,5.0,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",1999-06-10 00:00:00,1999,6,10,June,party,18.0,CON_18,Bahrain,,Bahrain,BAH,BAH,CON,Country/State,Bahrain,BHR,48.0,692.0,BAH,BAH,692.0,Asia,126.0,Government of Bahrain,Government of Bahrain (1999-),Government of Bahrain (1999-),Bahrain | BAHRAIN | Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain,Bahrain is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
