signatory_id,AgtId,Agt,short_agt_name,long_agt_name,description,Type,PP,PPName,Con,agt_type,stage_label,date,year,month,day,month_full,target_type,signatory_type,actor_id,actor_id_type,actor,actor_detail,actor_name,abbreviation,short_actor_name,type,new_actor_type,old_actor_type,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html
32,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,9,CON_9,Argentina,,Argentina,ARG,ARG,CON,Country/State,Country/State,Argentina,ARG,32,160,ARG,ARG,160,Americas,26,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Argentina | ARGENTINA | Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso,Argentina is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
34,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,10,CON_10,Netherlands,,Netherlands,NTH,NTH,CON,Country/State,Country/State,Netherlands,NLD,528,210,NTH,NTH,210,Europe,30,Government of Netherlands,Government of the Netherlands (2010-),Government of the Netherlands (2010-),Netherlands | NETHERLANDS | Kingdom Netherlands | Netherlands | NETHERLANDS | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands,Netherlands is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
33,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,11,CON_11,Canada,,Canada,CAN,CAN,CON,Country/State,Country/State,Canada,CAN,124,20,CAN,CAN,20,Americas,4,Government of Canada,Government of Canada (2015-),Government of Canada (2015-),Canada | CANADA | Canada | CANADA | Canada | Government Canada,Canada is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
31,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,12,CON_12,Malaysia,,Malaysia,MAL,MAL,CON,Country/State,Country/State,Malaysia,MYS,458,820,MAL,MAL,820,Asia,152,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Malaysia | MALAYSIA | Malaysian Government,Malaysia is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
30,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,13,CON_13,Namibia,,Namibia,NAM,NAM,CON,Country/State,Country/State,Namibia,NAM,516,565,NAM,NAM,565,Africa,103,Government of Namibia,,,Namibia | NAMIBIA | Republic Namibia | Nambia | Government Republic Namibia,Namibia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
29,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,14,CON_14,Slovenia,,Slovenia,SLV,SLV,CON,Country/State,Country/State,Slovenia,SVN,705,349,SLV,SLV,349,Europe,51,Government of Slovenia,Government of Slovenia (2018-),Government of Slovenia (2018-),Slovenia | SLOVENIA | Republic Slovenia | Republic Slovenia : | Slovenia,Slovenia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
28,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,15,CON_15,Brazil,,Brazil,BRA,BRA,CON,Country/State,Country/State,Brazil,BRA,76,140,BRA,BRA,140,Americas,22,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Brazil | BRAZIL | Federative Republic Brazil | Federal Republic Brazil | Federative Republic Brazil | Federative Republic of Brazil  | BRAZIL,Brazil is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
26,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,16,CON_16,Gambia,,Gambia,GAM,GAM,CON,Country/State,Country/State,Gambia,GMB,270,420,GAM,GAM,420,Africa,71,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Gambia | GAMBIA | Gambia | GAMBIA | Gambia ] | Republic Gambia | Republic GAMBIA,Gambia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
25,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,17,CON_17,Gabon,,Gabon,GAB,GAB,CON,Country/State,Country/State,Gabon,GAB,266,481,GAB,GAB,481,Africa,85,Government of Gabon,Government of Gabon (2009-),Government of Gabon (2009-),Gabon | GABON | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic  | Gabonese Republic | Gabonese Republic  Republic | Gabonese Republic,Gabon is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
27,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",UN Security Council Resolution 1244  (10 June 1999),This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Mixed,"Framework-substantive, partial",10/06/1999,1999,6,10,June,signatory,party,18,CON_18,Bahrain,,Bahrain,BAH,BAH,CON,Country/State,Country/State,Bahrain,BHR,48,692,BAH,BAH,692,Asia,126,Government of Bahrain,Government of Bahrain (1999-),Government of Bahrain (1999-),Bahrain | BAHRAIN | Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain,Bahrain is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,"<a href=""https://www.peaceagreements.org/view/5"" target=""_blank"">View on PA-X Database</a>","<a href=""https://www.peaceagreements.org/viewmasterdocument/5"" target=""_blank"">View agreement PDF</a>"
