signatory_id,AgtId,From Node (Full Name),From Node (Short Name),agt_description,From Node Type,PP,Con,From Node Sub-Type,date,year,Edge,actor_id,actor_id_type,To Node Name,actor_detail,short_actor_name,actor_type,To Node Type,To Node Sub-Type,country_based,isco3c_actor_based,actor_additional_info,PAX_Hyperlink,PDF_Hyperlink
32,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,9,CON_9,Argentina,,ARG,CON,Entity,Country/State,Argentina,ARG,Argentina is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
34,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,10,CON_10,Netherlands,,NTH,CON,Entity,Country/State,Netherlands,NLD,Netherlands is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
33,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,11,CON_11,Canada,,CAN,CON,Entity,Country/State,Canada,CAN,Canada is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
31,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,12,CON_12,Malaysia,,MAL,CON,Entity,Country/State,Malaysia,MYS,Malaysia is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
30,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,13,CON_13,Namibia,,NAM,CON,Entity,Country/State,Namibia,NAM,Namibia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
29,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,14,CON_14,Slovenia,,SLV,CON,Entity,Country/State,Slovenia,SVN,Slovenia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
28,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,15,CON_15,Brazil,,BRA,CON,Entity,Country/State,Brazil,BRA,Brazil is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
26,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,16,CON_16,Gambia,,GAM,CON,Entity,Country/State,Gambia,GMB,Gambia is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
25,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,17,CON_17,Gabon,,GAB,CON,Entity,Country/State,Gabon,GAB,Gabon is a Country/State in Africa. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
27,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,18,CON_18,Bahrain,,BAH,CON,Entity,Country/State,Bahrain,BHR,Bahrain is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
23,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,19,CON_19,United Kingdom,,UKG,CON,Entity,Country/State,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
22,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,20,CON_20,China,,CHN,CON,Entity,Country/State,China,CHN,China is a Country/State in Asia. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
21,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,21,CON_21,Russia,,RUS,CON,Entity,Country/State,Russian Federation,RUS,Russia is a Country/State in Europe. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
20,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,3,CON_3,United States,,USA,CON,Entity,Country/State,United States of America,USA,United States is a Country/State in Americas. ,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
35,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, 10 June 1999",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,Peace Agreement,Kosovo process,Kosovo/Serbia/Yugoslavia (former),"Framework-substantive, partial",10/06/1999,1999,party,8,IGO_8,United Nations,UN Security Council,UNSC,IGO,Entity,IGO,,,"UN Security Council (UNSC) is an IGO, with affiliations to Global Defense / Security IGOs (United Nations). They are also referred to as Un Security Council || United Nations Security Council || UNSC || U.N. Security Council",https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5
