signatory_id,AgtId,agt_name,signatory_type,practical_third,condition,actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,actor_iso3c,actor_country,actor_gwno,actor_region,abbreviation,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,acled_name,acled_other,Con,PPName,Reg,Dat,year,agt_type,stage_process,Part,ThrdPart,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,PAX_Hyperlink,PDF_Hyperlink
2741,627,Agreement reached between the State of Eritrea and the Republic of the Sudan (01/05/1999),party,,,158,CON_158,Sudan,Country/State,,,SDN,Sudan,625.0,Africa,,,,,,,112.0,Government of Sudan,Government of Sudan (2019-),Government of Sudan (1989-2019) | Government of Sudan (2019-),Eritrea/Sudan,Eritrea-Sudan peace process,Africa (excl MENA),05/01/1999,1999,Interstate/mixed,Pre-negotiation/process,"Issaias Afewerki, President of the State of Eritrea; Omar Hassan Al-Basheer, President of the Republic of the Sudan","Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",ERI,SDN,531.0,625.0,326.0,,,,https://www.peaceagreements.org/agreements/627/,https://www.peaceagreements.org/media/documents/ag627_562f812250439.pdf
2740,627,Agreement reached between the State of Eritrea and the Republic of the Sudan (01/05/1999),party,,,272,CON_272,Eritrea,Country/State,,,ERI,Eritrea,531.0,Africa,,,,,,,98.0,Government of Eritrea,Government of Eritrea (1993-),,Eritrea/Sudan,Eritrea-Sudan peace process,Africa (excl MENA),05/01/1999,1999,Interstate/mixed,Pre-negotiation/process,"Issaias Afewerki, President of the State of Eritrea; Omar Hassan Al-Basheer, President of the Republic of the Sudan","Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",ERI,SDN,531.0,625.0,326.0,,,,https://www.peaceagreements.org/agreements/627/,https://www.peaceagreements.org/media/documents/ag627_562f812250439.pdf
2742,627,Agreement reached between the State of Eritrea and the Republic of the Sudan (01/05/1999),third party,1.0,C1,486,CON_486,Qatar,Country/State,,,QAT,Qatar,694.0,Asia,,,,,,,127.0,Government of Qatar,Government of Qatar (2013-),,Eritrea/Sudan,Eritrea-Sudan peace process,Africa (excl MENA),05/01/1999,1999,Interstate/mixed,Pre-negotiation/process,"Issaias Afewerki, President of the State of Eritrea; Omar Hassan Al-Basheer, President of the Republic of the Sudan","Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",ERI,SDN,531.0,625.0,326.0,,,,https://www.peaceagreements.org/agreements/627/,https://www.peaceagreements.org/media/documents/ag627_562f812250439.pdf
3063,715,Doha Agreement (03/05/2009),party,,,158,CON_158,Sudan,Country/State,,,SDN,Sudan,625.0,Africa,,,,,,,112.0,Government of Sudan,Government of Sudan (2019-),Government of Sudan (1989-2019) | Government of Sudan (2019-),Chad/Sudan,Chad-Sudan Agreements,Africa (excl MENA),05/03/2009,2009,Interstate/mixed,Implementation,"Moussa Faki Mahamat, Minister for Foreign Affairs of the Republic of Chad; Al-Tijani Salih Fidail, Minister for International Cooperation of the Republic of the Sudan","[Agreement does not indicate role of Third Parties, however text does indicate 'Thanks to the efforts of [...]'; 'With the participation of [...]'; 'thanks for the efforts of the State of Qatar in hosting this meeting'] Musa M. Abdussalam Kousa, Secretary of the General People’s Committee for Foreign Liaison and International Cooperation of the Great Socialist People’s Libyan Arab Jamahiriya 'and Chairperson of the African Union'; Ahmed bin Abdullah Al Mahmud, Minister of State for Foreign Affairs and Member of the Council of Ministers of the State of Qatar",TCD,SDN,483.0,625.0,,,,,https://www.peaceagreements.org/agreements/715/,https://www.peaceagreements.org/media/documents/ag715_57b304093d3c9.pdf
3067,715,Doha Agreement (03/05/2009),third party,1.0,C1,285,CON_285,Libya,Country/State,,,LBY,Libya,620.0,Africa,,,,,,,111.0,Government of Libya,Government of Libya (2012-2014),Government of Libya (1969-2011) | Government of Libya (2011-2012) | Government of Libya (2012-2014) | Government of Libya (2014-) General National Congress | Government of Libya (2014-) House of Representatives | Government of Libya (2016-2021) Government of National Accord | Government of Libya (2021-) Government of National Unity | Government of Libya (2022-) Parliament-Appointed Government,Chad/Sudan,Chad-Sudan Agreements,Africa (excl MENA),05/03/2009,2009,Interstate/mixed,Implementation,"Moussa Faki Mahamat, Minister for Foreign Affairs of the Republic of Chad; Al-Tijani Salih Fidail, Minister for International Cooperation of the Republic of the Sudan","[Agreement does not indicate role of Third Parties, however text does indicate 'Thanks to the efforts of [...]'; 'With the participation of [...]'; 'thanks for the efforts of the State of Qatar in hosting this meeting'] Musa M. Abdussalam Kousa, Secretary of the General People’s Committee for Foreign Liaison and International Cooperation of the Great Socialist People’s Libyan Arab Jamahiriya 'and Chairperson of the African Union'; Ahmed bin Abdullah Al Mahmud, Minister of State for Foreign Affairs and Member of the Council of Ministers of the State of Qatar",TCD,SDN,483.0,625.0,,,,,https://www.peaceagreements.org/agreements/715/,https://www.peaceagreements.org/media/documents/ag715_57b304093d3c9.pdf
3065,715,Doha Agreement (03/05/2009),third party,1.0,C1,87,IGO_87,African Union,Intergovernmental Organization,Regional,,,,,Africa,AU,,,1.0,,,,,,,Chad/Sudan,Chad-Sudan Agreements,Africa (excl MENA),05/03/2009,2009,Interstate/mixed,Implementation,"Moussa Faki Mahamat, Minister for Foreign Affairs of the Republic of Chad; Al-Tijani Salih Fidail, Minister for International Cooperation of the Republic of the Sudan","[Agreement does not indicate role of Third Parties, however text does indicate 'Thanks to the efforts of [...]'; 'With the participation of [...]'; 'thanks for the efforts of the State of Qatar in hosting this meeting'] Musa M. Abdussalam Kousa, Secretary of the General People’s Committee for Foreign Liaison and International Cooperation of the Great Socialist People’s Libyan Arab Jamahiriya 'and Chairperson of the African Union'; Ahmed bin Abdullah Al Mahmud, Minister of State for Foreign Affairs and Member of the Council of Ministers of the State of Qatar",TCD,SDN,483.0,625.0,,,,,https://www.peaceagreements.org/agreements/715/,https://www.peaceagreements.org/media/documents/ag715_57b304093d3c9.pdf
3066,715,Doha Agreement (03/05/2009),third party,1.0,C1,486,CON_486,Qatar,Country/State,,,QAT,Qatar,694.0,Asia,,,,,,,127.0,Government of Qatar,Government of Qatar (2013-),,Chad/Sudan,Chad-Sudan Agreements,Africa (excl MENA),05/03/2009,2009,Interstate/mixed,Implementation,"Moussa Faki Mahamat, Minister for Foreign Affairs of the Republic of Chad; Al-Tijani Salih Fidail, Minister for International Cooperation of the Republic of the Sudan","[Agreement does not indicate role of Third Parties, however text does indicate 'Thanks to the efforts of [...]'; 'With the participation of [...]'; 'thanks for the efforts of the State of Qatar in hosting this meeting'] Musa M. Abdussalam Kousa, Secretary of the General People’s Committee for Foreign Liaison and International Cooperation of the Great Socialist People’s Libyan Arab Jamahiriya 'and Chairperson of the African Union'; Ahmed bin Abdullah Al Mahmud, Minister of State for Foreign Affairs and Member of the Council of Ministers of the State of Qatar",TCD,SDN,483.0,625.0,,,,,https://www.peaceagreements.org/agreements/715/,https://www.peaceagreements.org/media/documents/ag715_57b304093d3c9.pdf
3062,715,Doha Agreement (03/05/2009),party,,,157,CON_157,Chad,Country/State,,,TCD,Chad,483.0,Africa,,,,,,,87.0,Government of Chad,Government of Chad (2021-),Government of Chad (1990-2021) | Government of Chad (2021-),Chad/Sudan,Chad-Sudan Agreements,Africa (excl MENA),05/03/2009,2009,Interstate/mixed,Implementation,"Moussa Faki Mahamat, Minister for Foreign Affairs of the Republic of Chad; Al-Tijani Salih Fidail, Minister for International Cooperation of the Republic of the Sudan","[Agreement does not indicate role of Third Parties, however text does indicate 'Thanks to the efforts of [...]'; 'With the participation of [...]'; 'thanks for the efforts of the State of Qatar in hosting this meeting'] Musa M. Abdussalam Kousa, Secretary of the General People’s Committee for Foreign Liaison and International Cooperation of the Great Socialist People’s Libyan Arab Jamahiriya 'and Chairperson of the African Union'; Ahmed bin Abdullah Al Mahmud, Minister of State for Foreign Affairs and Member of the Council of Ministers of the State of Qatar",TCD,SDN,483.0,625.0,,,,,https://www.peaceagreements.org/agreements/715/,https://www.peaceagreements.org/media/documents/ag715_57b304093d3c9.pdf
3079,721,Agreement between the State of Eritrea and the Republic of Djibouti (concerning peaceful settlement of the border dispute) (06/06/2010),third party,1.0,C1,486,CON_486,Qatar,Country/State,,,QAT,Qatar,694.0,Asia,,,,,,,127.0,Government of Qatar,Government of Qatar (2013-),,Djibouti/Eritrea,Djibouti-Eritrea border dispute peace process,Africa (excl MENA),06/06/2010,2010,Interstate,Pre-negotiation/process,"Republic of Djibouti, (Signed) Ismail Omar Guelleh, President of the Republic of Djibouti; State of Eritrea, (Signed) Isaias Afwerki, President of the State of Eritrea","Mediator and witness, State of Qatar, (Signed) Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",DJI,ERI,522.0,531.0,435.0,1432,,,https://www.peaceagreements.org/agreements/721/,https://www.peaceagreements.org/media/documents/ag721_5a6b609d103a3.pdf
3078,721,Agreement between the State of Eritrea and the Republic of Djibouti (concerning peaceful settlement of the border dispute) (06/06/2010),party,,,248,CON_248,Djibouti,Country/State,,,DJI,Djibouti,522.0,Africa,,,,,,,96.0,Government of Djibouti,Government of Djibouti (1999-),,Djibouti/Eritrea,Djibouti-Eritrea border dispute peace process,Africa (excl MENA),06/06/2010,2010,Interstate,Pre-negotiation/process,"Republic of Djibouti, (Signed) Ismail Omar Guelleh, President of the Republic of Djibouti; State of Eritrea, (Signed) Isaias Afwerki, President of the State of Eritrea","Mediator and witness, State of Qatar, (Signed) Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",DJI,ERI,522.0,531.0,435.0,1432,,,https://www.peaceagreements.org/agreements/721/,https://www.peaceagreements.org/media/documents/ag721_5a6b609d103a3.pdf
3077,721,Agreement between the State of Eritrea and the Republic of Djibouti (concerning peaceful settlement of the border dispute) (06/06/2010),party,,,272,CON_272,Eritrea,Country/State,,,ERI,Eritrea,531.0,Africa,,,,,,,98.0,Government of Eritrea,Government of Eritrea (1993-),,Djibouti/Eritrea,Djibouti-Eritrea border dispute peace process,Africa (excl MENA),06/06/2010,2010,Interstate,Pre-negotiation/process,"Republic of Djibouti, (Signed) Ismail Omar Guelleh, President of the Republic of Djibouti; State of Eritrea, (Signed) Isaias Afwerki, President of the State of Eritrea","Mediator and witness, State of Qatar, (Signed) Hamad bin Khalifa Al-Thani, Emir of the State of Qatar",DJI,ERI,522.0,531.0,435.0,1432,,,https://www.peaceagreements.org/agreements/721/,https://www.peaceagreements.org/media/documents/ag721_5a6b609d103a3.pdf
