signatory_id,AgtId,agt_name,signatory_type,practical_third,condition,actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,actor_iso3c,actor_country,actor_gwno,actor_region,abbreviation,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,acled_name,acled_other,Con,PPName,Reg,Dat,year,agt_type,stage_process,Part,ThrdPart,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,PAX_Hyperlink,PDF_Hyperlink
26,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,16,CON_16,Gambia,Country/State,,,GMB,Gambia,420.0,Africa,,,,,,,71.0,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
32,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,9,CON_9,Argentina,Country/State,,,ARG,Argentina,160.0,Americas,,,,,,,26.0,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
34,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,10,CON_10,Netherlands,Country/State,,,NLD,Netherlands,210.0,Europe,,,,,,,30.0,Government of Netherlands,Government of the Netherlands (2010-),,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
33,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,11,CON_11,Canada,Country/State,,,CAN,Canada,20.0,Americas,,,,,,,4.0,Government of Canada,Government of Canada (2015-),,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
31,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,12,CON_12,Malaysia,Country/State,,,MYS,Malaysia,820.0,Asia,,,,,,,152.0,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
29,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,14,CON_14,Slovenia,Country/State,,,SVN,Slovenia,317.0,Europe,,,,,,,51.0,Government of Slovenia,Government of Slovenia (2018-),,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
28,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,15,CON_15,Brazil,Country/State,,,BRA,Brazil,140.0,Americas,,,,,,,22.0,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
30,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,13,CON_13,Namibia,Country/State,,,NAM,Namibia,565.0,Africa,,,,,,,103.0,Government of Namibia,,,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
25,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,17,CON_17,Gabon,Country/State,,,GAB,Gabon,481.0,Africa,,,,,,,85.0,Government of Gabon,Government of Gabon (2009-),,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
22,5,UN Security Council Resolution 1244 (10/06/1999),party,1.0,C4,20,CON_20,China,Country/State,,,CHN,China,710.0,Asia,,P5,,,,,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,Kosovo/Serbia/Yugoslavia (former),Kosovo process,Europe and Eurasia,06/10/1999,1999,Interstate/mixed,"Framework-substantive, partial","The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,,SRB,347.0,345.0,412.0,,,900,https://www.peaceagreements.org/agreements/5/,https://www.peaceagreements.org/media/documents/ag5_57ab4a6106cae.pdf
