id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,actor_iso3c,actor_country,actor_id,actor_name,abbreviation,alternative_names
CON_0,Country/State,,,,,,,BIH,Bosnia and Herzegovina,0,Bosnia and Herzegovina,,Bosnia-Herzegovina | BOSNIA AND HERZEGOVINA | Bosnia Herzegovina | Republic of Bosnia and Herzegovina | Bosnia | Bosniak | Bosnian Croats | Bosnian Serb Civilian | Federation Bosnia | Federation Bosnia Herzegovina | Federation Bosnia Herzegovina Drago BILANDZIJA | Federation Bosnia Herzegovina : A. IZETBEGOVIC | Republic Bosnia | Republic Bosnia - Herzegovina | Republic Bosnia Herzegovina | Republic Federation Bosnia Herzegovina ] | BIH | Government Republic Bosnia Herzegovina | Herzegovina | Republics Bosnia Herzegovina
CON_1,Country/State,,,,,,,HRV,Croatia,1,Croatia,,Croatia | Croat | Republic Croatia | Republic Croatia : | Republic Croatia DR | Defence Government Republic Croatia | : Government Republic Croatia- | Office Government Republic Croatia Transitional Administration | Republika Hrvatska | HRV
CON_2,Country/State,,,,,,,DEU,Germany,2,Germany,,Germany (Prussia) | GERMANY | Federal Republic Germany | Republic Germany | Federal Republic of Germany | German Foreign Ministry | Bundesrepublik Deutschland
CON_3,Country/State,,,,,,P5,USA,United States,3,United States,,United States of America | UNITED STATES | America | U.S. | U.S.A | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA | US
CON_4,Country/State,,,,,,,ESP,Spain,4,Spain,,Spain | Kingdom Spain | Reino de España | España | Spanish
IGO_5,Intergovernmental Organization,Regional,,,1.0,,,,,5,European Union,EU,EU | The European Union | European Union | EU Admininstrator | EU Monitoring Mission | EU Special Representative | European Union - MAMADOU KANE | European Union Canada Mediator | European Union Delegation European Commission | European Union League Arab States | European Union Representative | European Union Co - Chair | European Union External Action Service | European Union Foreign Affairs | European Union Foreign Affairs Security | European Union High Representative | European Union High Representative Foreign Affairs & Security | European Union Special Negotiator | European Unions | EU Presidency | EU Administrator | Local Presidency of the European Union | Union Europeene | European External Action Service | EU facilitator | European Union High Representative of the Union for Foreign Affairs and Security Policy | UE | EU Special Envoy | Presidency of the EU | EU Special Representative for the Great Lakes Region | European Union (EU) | European Union  - MAMADOU KANE | Unión Europea
CON_6,Country/State,,,,,,,CAF,Central African Republic,6,Central African Republic,,Central African Republic | CAR | CAR Government - Jean WILLYBIRO SAKO | Central African Republic Basile Ikouebe | Central African Republic Excellency | Central African Republic Head | Central African Republic : | Central African Republic : Excellency Mr Felix - Ange | Republic Central African Republic | Central African Government | Central African Republic  Basile Ikouebe | Central African Republic  Excellency | Central African Republic  Head
CON_7,Country/State,,,,,,P5,FRA,France,7,France,,FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France
IGO_8,Intergovernmental Organization,,,1.0,,,United Nations,,,8,UN Security Council,UNSC,Un Security Council | United Nations Security Council | UNSC | U.N. Security Council | UN Security Council Resolution | UN Security General
CON_9,Country/State,,,,,,,ARG,Argentina,9,Argentina,,Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso
