actor_id,id_paax,actor_name,actor_type,actor_iso3c,sub_type,cs_type,abbreviation,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,acled_name,acled_other
0,CON_0,Bosnia and Herzegovina,Country/State,BIH,,,,Bosnia and Herzegovina,346.0,Europe,,,,,,50.0,Government of Bosnia-Herzegovina,Government of Bosnia and Herzegovina (2018-),
1,CON_1,Croatia,Country/State,HRV,,,,Croatia,344.0,Europe,,,,,,48.0,Government of Croatia,Government of Croatia (2016-),
2,CON_2,Germany,Country/State,DEU,,,,Germany,255.0,Europe,,,,,,37.0,Government of Germany,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-)
3,CON_3,United States,Country/State,USA,,,,United States,2.0,Americas,P5,,,,,3.0,Government of United States of America,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-)
4,CON_4,Spain,Country/State,ESP,,,,Spain,230.0,Europe,,,,,,35.0,Government of Spain,Government of Spain (2020-),
5,IGO_5,European Union,Intergovernmental Organization,,Regional,,EU,,,Europe,,,1.0,,,,,,
6,CON_6,Central African Republic,Country/State,CAF,,,,Central African Republic,482.0,Africa,,,,,,86.0,Government of Central African Republic,Government of the Central African Republic (2016-),Government of the Central African Republic (2003-2013) | Government of the Central African Republic (2014-2016) | Government of the Central African Republic (2016-) | Government of the Central African Republic (1993-2003)
7,CON_7,France,Country/State,FRA,,,,France,220.0,Europe,P5,,,,,33.0,Government of France,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin
8,IGO_8,UN Security Council,Intergovernmental Organization,,,,UNSC,,,,United Nations,1.0,,,,,,,
9,CON_9,Argentina,Country/State,ARG,,,,Argentina,160.0,Americas,,,,,,26.0,Government of Argentina,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-)
10,CON_10,Netherlands,Country/State,NLD,,,,Netherlands,210.0,Europe,,,,,,30.0,Government of Netherlands,Government of the Netherlands (2010-),
11,CON_11,Canada,Country/State,CAN,,,,Canada,20.0,Americas,,,,,,4.0,Government of Canada,Government of Canada (2015-),
12,CON_12,Malaysia,Country/State,MYS,,,,Malaysia,820.0,Asia,,,,,,152.0,Government of Malaysia,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-)
13,CON_13,Namibia,Country/State,NAM,,,,Namibia,565.0,Africa,,,,,,103.0,Government of Namibia,,
14,CON_14,Slovenia,Country/State,SVN,,,,Slovenia,317.0,Europe,,,,,,51.0,Government of Slovenia,Government of Slovenia (2018-),
15,CON_15,Brazil,Country/State,BRA,,,,Brazil,140.0,Americas,,,,,,22.0,Government of Brazil,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-)
16,CON_16,Gambia,Country/State,GMB,,,,Gambia,420.0,Africa,,,,,,71.0,Government of Gambia,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-)
17,CON_17,Gabon,Country/State,GAB,,,,Gabon,481.0,Africa,,,,,,85.0,Government of Gabon,Government of Gabon (2009-),
18,CON_18,Bahrain,Country/State,BHR,,,,Bahrain,692.0,Asia,,,,,,126.0,Government of Bahrain,Government of Bahrain (1999-),
19,CON_19,United Kingdom,Country/State,GBR,,,,United Kingdom,200.0,Europe,P5,,,,,28.0,Government of United Kingdom,Government of the United Kingdom (2010-),
20,CON_20,China,Country/State,CHN,,,,China,710.0,Asia,P5,,,,,135.0,Government of China,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region
21,CON_21,Russia,Country/State,RUS,,,,Russia,365.0,Europe,P5,,,,,57.0,Government of Russia (Soviet Union),Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia
22,CON_22,Yugoslavia,Country/State, ,,,,Yugoslavia,345.0,Europe,,,,,,,,,
23,POL_23,Progress Party of Gabon,Political Party,GAB,,,PGP,Gabon,481.0,Africa,,,,,,,,,
24,POL_24,People’s Socialist Emancipation Movement,Political Party,GAB,,,MESP,Gabon,481.0,Africa,,,,,,,,,
25,POL_25,African Forum for Reconstruction,Political Party,GAB,,,FAR,Gabon,481.0,Africa,,,,,,,,,
26,POL_26,National Recovery Movement,Political Party,GAB,,,MORENA,Gabon,481.0,Africa,,,,,,,,,
27,POL_27,Democratic & Republican Alliance,Political Party,GAB,,,ADERE,Gabon,481.0,Africa,,,,,,,,,
28,POL_28,Independent Centre Party of Gabon,Political Party,GAB,,,PGCI,Gabon,481.0,Africa,,,,,,,,,
29,POL_29,Democratic Justice Congress,Political Party,GAB,,,CDJ,Gabon,481.0,Africa,,,,,,,,,
30,POL_30,Democratic Party of Gabon,Political Party,GAB,,,PDG,Gabon,481.0,Africa,,,,,,,,PDG: Gabonese Democratic Party,
31,POL_31,Social Democratic Party,Political Party,GAB,,,PSD,Gabon,481.0,Africa,,,,,,,,,
32,POL_32,United People’s Party,Political Party,GAB,,,PUP-CRISE,Gabon,481.0,Africa,,,,,,,,,
33,POL_33,Liberal Reform Convention,Political Party,GAB,,,CLR,Gabon,481.0,Africa,,,,,,,,,
34,POL_34,National Assembly of Foresters,Political Party,GAB,,,RNB,Gabon,481.0,Africa,,,,,,,,,
35,POL_35,Gabon People’s Union,Political Party,GAB,,,UPG,Gabon,481.0,Africa,,,,,,,,,
36,UMB_36,Political Groups,Umbrella,GAB,,,,Gabon,481.0,Africa,,,,,,,,,
37,POL_37,Radical Independent Republican Party,Political Party,GAB,,,PARI,Gabon,481.0,Africa,,,,,,,,,
38,POL_38,Gabon Association for Socialism,Political Party,GAB,,,APSG,Gabon,481.0,Africa,,,,,,,,,
39,POL_39,Unity People’s Party,Political Party,GAB,,,PUP,Gabon,481.0,Africa,,,,,,,,,
40,POL_40,Socialist Union of Gabon,Political Party,GAB,,,USG,Gabon,481.0,Africa,,,,,,,,,
41,CON_41,Benin,Country/State,BEN,,,,Benin,434.0,Africa,,,,,,1209.0,Government of Benin,Government of Benin (2016-),Government of Benin (2006-2016) | Government of Benin (2016-)
42,CON_42,Congo,Country/State,COG,,,,"Congo, Republic of the",484.0,Africa,,,,,,88.0,Government of Congo,Government of the Republic of Congo (1997-),
43,IGO_43,Organization of African Unity,Intergovernmental Organization,,Regional,,OAU,,,Africa,,,1.0,,,,,,
44,CON_44,Guinea ,Country/State,GIN,,,,Guinea,438.0,Africa,,,,,,77.0,Government of Guinea,Government of Guinea (2021-),Government of Guinea (2010-2021) | Government of Guinea (2021-)
45,CON_45,Georgia,Country/State,GEO,,,,Georgia,372.0,Asia,,,,,,63.0,Government of Georgia,Government of Georgia (2012-),
46,ENT_46,Abkhazia,Entity,GEO,,,,Georgia,372.0,Asia,,,,,,,,,
47,ENT_47,North Caucasian,Entity,RUS,,,,Russia,365.0,Europe,,,,,,,,,
48,IGO_48,Conference on Security and Cooperation in Europe,Intergovernmental Organization,,Regional,,CSCE,,,Europe,,,1.0,,,,,,
49,IGO_49,United Nations (General),Intergovernmental Organization,,,,UN,,,,United Nations,1.0,,,,,,UN: United Nations,
50,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,,Regional,,OSCE,,,Europe,,1.0,1.0,,,,,,
51,COA_51,Group of Friends UNSG,State Coalition,,,,,,,,,1.0,,,,,,,
52,CON_52,Ukraine,Country/State,UKR,,,,Ukraine,369.0,Europe,,,,,,61.0,Government of Ukraine,Government of Ukraine (2019-),Government of Ukraine (2014-2019) | Government of Ukraine (2019-)
53,IGO_53,Commonwealth of Independent States,Intergovernmental Organization,,Regional,,CIS,,,Europe,,1.0,1.0,,,,,,
54,CON_54,Uzbekistan,Country/State,UZB,,,,Uzbekistan,704.0,Asia,,,,,,133.0,Government of Uzbekistan,Government of Uzbekistan (2016-),
55,CON_55,Kyrgyzstan,Country/State,KGZ,,,,Kyrgyzstan,703.0,Asia,,,,,,132.0,Government of Kyrgyzstan,Government of Kyrgyzstan (2017-2020),
56,CON_56,Kazakhstan,Country/State,KAZ,,,,Kazakhstan,705.0,Asia,,,,,,134.0,Government of Kazakhstan,Government of Kazakhstan (2019-),Government of Kazakhstan (1990-2019) | Government of Kazakhstan (2019-)
57,CON_57,Turkmenistan,Country/State,TKM,,,,Turkmenistan,701.0,Asia,,,,,,,,Government of Turkmenistan (2006-),
58,CON_58,Belarus,Country/State,BLR,,,,Belarus,370.0,Europe,,,,,,,,Government of Belarus (1994-),
59,CON_59,Azerbaijan,Country/State,AZE,,,,Azerbaijan,373.0,Asia,,,,,,64.0,Government of Azerbaijan,Government of Azerbaijan (2003-),
