AgtId,has_third_party,IGO,EU,regional,org_region,UN,UN Office,UN Mission,UNSC,P5,United States,France,United Kingdom,China,Russia,all_P5,Con,Contp,PP,PPName,Reg,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,ConGen,ConRen,Cons,Polps,PpsGe,PpsGe:St,PpsGe:Sub,PpsEx,PpsEx:St,PpsEx:Sub,PpsOro,PpsOro:St,PpsOro:Sub,PpsOthPr,PpsOthPr:St,PpsOthPr:Sub,PpsVet,PpsVet:St,PpsVet:Sub,PpsAut,PpsAut:St,PpsAut:Sub,PpsInt,PpsInt:St,PpsInt:Sub,PpsOth,PpsOth:St,PpsOth:Sub,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,HrBor,HrTrinc,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrCit,CitGen,CitRights,CitDef,CitOth,HrDem,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrMob,Prot,ProtCiv,ProtGrp,ProtOth,RiOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
2,1,1,1,1,Europe,0,0,0,0,1,1,0,0,0,0,0,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1,"Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton",1995-11-10,Multiparty signed/agreed,14,21063,Intra,Imp,ImpMod,"To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Alija Izetbegovic, President of the Republic of Bosnia and Herzegovina; Kresimir Zubak, President of the Federation of Bosnia and Herzegovina; Dr. Haris Silajdzic, Prime Minister; Jadranko Prlic, Deputy Prime Minister 

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Mijo Brajkovic, Mayor of West Mostar; Hans Koachnik, EU Admininstrator; Safet Orucevic, Mayor of East Mostar 

To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Endorsed by: Dr. Franjo Tudjman, President of the Republic of Croatia","Witnessed by: Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Richard Holbrooke, United States of America; Ambassador Fernandez de la Pena, Spanish EU Presidency; Hans Koschnick, EU Administrator Mostar  

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Muhamed Sacirbey, Minister of Foreign Affairs of the Republic of Bosnia and Herzegovina; Gojko Susak, Minister of Defense of the Republic of Croatia; Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Fernandez de la Pena, Spanish EU Presidency","Page 7, Ambassadors
Within one month after the adoption of the legislation referred to in section II A, we
shall implement the agreements reached in Zagreb on 11 September 1994 and at the Petersberg on 10 March 1995 regarding the appointment of Ambassadors.

Page 8, I. Mostar 
The Memorandum of Understanding for the EU Administration of 6 July 1994 shall be fully implemented.

Page 12, Annex: Agreed Principles for the Interim Statute for the City of Mostar
3. The City of Mostar shall be composed of six separate City-Municipalities. The boundaries of these City-Municipalities shall be defined in the Interim Statute for the City of Mostar.",BIH,,346.0,,398.0,,,215,Yes,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,Central African Republic,Government,13,CAR: Bangui process,Africa (excl MENA),1,"Declaration of Heads of State, Bangui (Bangui Accords)",1997-01-25,Multiparty signed/agreed,2,2552,InterIntra,Ren,Repre,"Parties – For the delegation of heads of African States: His Excellency El Hadj Omar BONGO. For the Central African Republic: His Excellency Mr Felix-Ange PATASSE. For the French Republic: His Excellency Mr Jean-Marc SIMON, Ambassador and Senior Representative.",,"Page 1, UNTITLED PREAMBLE
…
Take note of the Preliminary Agreement on a National Reconciliation Pact, which is the outcome of a broad consultation of those representing the vital forces of the Central African nation, thereby embodying the solemn commitment of the political parties, the trade union federations and the civil society to respect the constitutional legal order and to lend full support to all initiatives to promote dialogue and national reconciliation",CAF,,482.0,,416.0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
4,1,1,0,0,,1,1,0,1,0,0,0,0,0,0,0,(East Timor),Government/territory,57,East Timor-Indonesia peace process,Asia and Pacific,1,UN Security Council Resolution 1236,1999-05-07,Unilateral document,3,4993,InterIntra,Imp,ImpOth,United Nations Security Council,,series of agreements in New York on 5 May 1999; (the General Agreement);,IDN,,850.0,,330.0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5,1,1,0,0,,1,1,0,1,1,1,1,1,1,1,1,Kosovo/Serbia/Yugoslavia (former),Government/territory,129,Kosovo process,Europe and Eurasia,1,UN Security Council Resolution 1244,1999-06-10,Unilateral document,8,16365,InterIntra,SubPar,Iss,"The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,"Page 1, Untitled preamble
...Recalling its resolutions 1160 (1998) of 31 March 1998, 1199 (1998) of 23 September 1998, 1203 (1998) of 24 October 1998 and 1239 (1999) of 14 May 1999...

Page 1-2, Untitled preamble
...Welcoming the general principles on a political solution to the Kosovo crisis adopted on 6 May 1999 (S/1999/516, annex 1 to this resolution) and welcoming also the acceptance by the Federal Republic of Yugoslavia of the principles set forth in points 1 to 9 of the paper presented in Belgrade on 2 June 1999 (S/1999/649, annex 2 to this resolution), and the Federal Republic of Yugoslavia’s agreement to that paper...

Page 3, 11.
Decides that the main responsibilities of the international civil presence will include:
(a) Promoting the establishment, pending a final settlement, of substantial autonomy and self-government in Kosovo, taking full account of annex 2 and of the Rambouillet accords (S/1999/648);...(e) Facilitating a political process designed to determine Kosovo’s future status, taking into account the Rambouillet accords (S/1999/648);

Page 5, Annex 1, Statement by the Chairman on the conclusion of the meeting of the G-8 Foreign Ministers held at the Petersberg Centre on 6 May 1999
The G-8 Foreign Ministers adopted the following general principles on the political solution to the Kosovo crisis:...A political process towards the establishment of an interim political framework agreement providing for a substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of the KLA;

Page 6-7, Annex 2, 8.
Agreement should be reached on the following principles to move towards a resolution of the Kosovo crisis: A political process towards the establishment of an interim political framework agreement providing for substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of UCK. Negotiations between the parties for a settlement should not delay or disrupt the establishment of democratic self-governing institutions.",,SRB,347.0,345.0,412.0,,,900,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
6,1,1,1,1,Europe,0,0,0,0,1,0,0,0,0,1,0,Kosovo/Serbia/Yugoslavia (former),Government/territory,129,Kosovo process,Europe and Eurasia,1,Kosovo Peace Plan,1999-06-03,Unilateral document,2,4160,Intra,Pre,Prin,"Copy of agreement unsigned, party believed to be: Slobodan Milosevic, President of Federal Republic of Yugoslavia",Agreement negotiated by European Union envoy Martti Ahtisaari and Russian envoy Viktor Chernomyrdin,"Page 1, 8. 
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: Political process directed at reaching interim political agreement which would secure essential autonomy for Kosovo, with full taking into consideration of the Rambouillet agreement, the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and other states in the region as well as demilitarization of the Kosovo Liberation Army...

Page 2, 10. 
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: The end of military activities will depend on acceptance of the listed principles and simultaneous agreement with other previously identified elements which are identified in the footnote below. Then a military-technical agreement will be agreed which will among other things specify additional modalities, including the role and function of the Yugoslav, i.e. Serb, personnel in Kosovo.

Page 2, Footnote.
Other required elements: Fast and precise timetable for the withdrawal which means for instance:...Discussion about the military-technical agreement and its reaching will not prolong the agreed period for the withdrawal.",,SRB,347.0,345.0,412.0,3451999060301,,900,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8,1,1,1,1,"Africa, Europe",0,0,0,0,1,0,1,0,0,0,0,Gabon,Government,42,Gabon peace process,Africa (excl MENA),1,Accord de Paris,1994-10-07,Multiparty signed/agreed,38,196211,Intra,SubComp,FrAg,"For the Executive:
For the Democratic Party of Gabon (PDG), the Interim General Secretary: Honourable Leonard ANDJEMBE
For the Unity People’s Party (PUP), the President: M Louis Gaston MAYILA
For the Socialist Union of Gabon (USG), the First Secretary: Dr. Serge MBA BEKALE
For the Gabon Association for Socialism (APSG), the President: Victor MAPANGOU MUCANI MUETSA
For the Liberal Reform Convention (CLR), the President, Honourable Jean Boniface ASSELE

For the Opposition HCR
POLITICAL PARTIES
For the Democratic & Republican Alliance (ADERE), the President, Gaston Noel MBOUMBOU NGOMA
For the African Forum for Reconstruction (FAR), the First Secretary, Honourable Leon MBOU YEMBI
For the People’s Socialist Emancipation Movement (MESP), the Secretary General, Alfred ANTYUWE WORA
For the National Recovery Movement (MORENA), the President, Honourable Simon OYONO ABA’A
For the Independent Centre Party of Gabon (PGCI), the President, Jerome OKINDA
For the Progress Party of Gabon (PGP), the President, Me Pierre Louis AGONDJO OKAWE
For the Democratic Justice Congress (CDJ), the President, Marc Saturnin NAN NGUEMA
For the Radical Independent Republican Party (PARI), the President, Honourable Anacle BISSIELO
For the Social Democratic Party (PSD), the President, Pierre Claver MAGANGA MOUSSAVOU
For the United People’s Party (PUP-CRISE), the President, Paulin NSOME
For the National Assembly of Foresters (RNB), the President, Pere Paul MBA ABESSOLE
For the Gabon People’s Union (UPG), the President, Pierre MAMBOUNDOU
POLITICAL GROUPS
Group: Jules Aristide BOURDES OGOULIGUENDE
Group: Leon MEBIANE
Group: Alexandre SAMBAT
Group: Di Djob DIVUNGUI DI NDING
Group: Jean-Pierre LEMBOUMBA LEPANDOU","International Observers
For the Republic of France
For the Republic of Congo   
For the Republic of Benin
For the Federal Republic of Germany and the European Union
For Canada
The Mediator: H.E. Kemoke KEITA, Ambassador of Guinea, representing the Secretary General of the OUA
His Excellence El Hadj Omar Bongo, President of the Republic, Head of State",,GAB,,481.0,,,,,,Yes,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,3,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,1
12,1,1,0,1,Europe,1,1,0,0,1,0,0,0,0,1,0,Georgia/(Abkhazia),Territory,43,Abkhazia peace process,Europe and Eurasia,1,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva,1993-12-01,Multiparty signed/agreed,2,3572,Intra,SubPar,MultIss,"For the Georgian side
(Jaba Ioseliani)
 For the Abkhaz side
(Sokrat Jinjolia)","In the presence of:
For the United Nations
(Edouard Brunner)
Russian Federation 
(Boris Pastukhov)
CSCE
(Vincenzo Manno)","The negotiations were held in accordance with Security Council resolutions 849 (1993) of 9 July 1993, 854 (1993) of 6 August 1993, 858 (1993) of 24 August 1993, 876 (1993) of 19 October 1993 and 881 (1993) of 4 November 1993.",GEO,,372.0,,392.0,1597,,882,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1
13,1,1,0,1,Europe,1,1,0,0,1,0,0,0,0,1,0,Georgia/(Abkhazia),Territory,43,Abkhazia peace process,Europe and Eurasia,1,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides,1994-01-13,Multiparty signed/agreed,3,6796,Intra,Pre,Proc,"For the Georgian side J. Ioseliani
For the Abkhaz side S. Jinjolia","From the UN E. Brunner
From the Russian Federation B. Pastukhov
From the CSCE V. Manno","The negotiations were held in accordance with Security Council resolutions 849 of 9 July 1993, 854 of 6 August 1993, 858 of 24 August 1993, 876 of 19 October 1993, 881 of 4 November 1993 and 892 of 22 December 1993.
It was noted that the provisions of the Memorandum of Understanding of 1 December 1993 are, for the most part, being implemented.",GEO,,372.0,,392.0,1598,,882,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1
17,1,1,0,1,Europe,1,1,0,0,1,1,1,1,0,1,0,Georgia/(Abkhazia),Government/territory,43,Abkhazia peace process,Europe and Eurasia,1,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,1998-01-22,Multiparty signed/agreed,1,3253,Intra,Pre,Proc,"The Georgian party was represented by a delegation consisting of Mr. Vazha Lordkipanidze, Mr. Revaz Actamia. and Mr. Tamaz Khubua. 
The Abkhaz party was represented by a delegation consisting of Mr. Tamaz Ketsba, Mr. Sergei Tsargush, and Mr. Viktor Khashba.","UN (Chair), Russian Federation (Facilitator), OSCE, Group of Friends of the UNSG (France, Germany, Russian Federation, UK, US) as observers",,GEO,,372.0,,392.0,,,882,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
18,1,1,0,1,Europe,0,0,0,0,1,0,0,0,0,1,0,Georgia/(Abkhazia),Government/territory,43,Abkhazia peace process,Europe and Eurasia,1,"Decision of 28 April 1998 on additional measures for the settlement of the conflict in Abkhazia, Georgia, The Council of Heads of State of the Commonwealth of Independent State",1998-04-28,Multiparty signed/agreed,4,8771,Intra,SubPar,Iss,"CIS states: 
For the Republic of Armenia - R. KOCHARYAN
For the Republic of Moldova [unsigned]
For the Azerbaijani Republic - G. ALIYEV 
For the Russian Federation - B. YELTSIN
For the Republic of Belarus   [unsigned]
For the Republic of Tajikistan  [unsigned]
For Georgia - E. SHEVARDNADZE
For Turkmenistan [unsigned]
For the Republic of Kazakhstan - N . NAZARBAEV
For Ukraine - [unsigned]
For the Kyrgyz Republic - A. AKAEV
For the Republic of Uzbekistan -  I. KARIMOV",,"memorandum on the maintenance of peace and stability in the Commonwealth of Independent States (Almaty, 10 February 1995) and the statement by the Council of Heads of State of the Commonwealth (Minsk, 26 May 1995)",GEO,,372.0,,392.0,,,882,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
